18,v5,v3,v2,v2,12,v1,a
15,v5,v3,v3,v2,11.5,v1,a
18,v5,v3,v3,v2,11,v1,a
16,v5,v3,v3,v2,12,v1,a
17,v5,v3,v3,v2,10.5,v1,a
15,v5,v4,v4,v2,10,v1,a
14,v5,v4,v4,v2,9,v1,a
14,v5,v4,v4,v2,8.5,v1,a
14,v5,v4,v4,v2,10,v1,a
15,v5,v4,v4,v2,8.5,v1,a
15,v5,v4,v3,v2,10,v1,a
14,v5,v3,v3,v2,8,v1,a
15,v5,v4,v3,v2,9.5,v1,a
14,v5,v4,v4,v1,10,v1,a
24,v1,v1,v2,v1,15,v1,c
22,v3,v2,v2,v1,15.5,v1,a
18,v3,v2,v2,v1,15.5,v1,a
21,v3,v2,v1,v1,16,v1,a
27,v1,v1,v1,v1,14.5,v1,c
26,v1,v1,v1,v1,20.5,v1,b
25,v1,v1,v1,v1,17.5,v1,b
24,v1,v1,v1,v1,14.5,v1,b
25,v1,v1,v2,v1,17.5,v1,b
26,v1,v1,v2,v1,12.5,v1,b
21,v3,v2,v1,v1,15,v1,a
10,v5,v4,v4,v2,14,v1,a
10,v5,v3,v4,v2,15,v1,a
11,v5,v3,v4,v2,13.5,v1,a
9,v5,v3,v4,v2,18.5,v1,a
27,v1,v1,v1,v1,14.5,v1,c
28,v1,v1,v1,v1,15.5,v1,a
25,v1,v1,v2,v1,14,v1,c
25,v1,v1,?,v1,19,v1,a
19,v3,v2,v2,v1,13,v1,a
16,v3,v2,v2,v2,15.5,v1,a
17,v3,v2,v2,v1,15.5,v1,a
19,v3,v2,v1,v1,15.5,v1,a
18,v3,v2,v2,v1,15.5,v1,a
14,v5,v3,v3,v2,12,v1,a
14,v5,v4,v3,v2,11.5,v1,a
14,v5,v3,v3,v2,13.5,v1,a
14,v5,v3,v3,v2,13,v1,a
12,v5,v4,v3,v2,11.5,v1,a
13,v5,v4,v3,v2,12,v1,a
13,v5,v4,v3,v2,12,v1,a
18,v3,v2,v2,v1,13.5,v1,a
22,v1,v1,v1,v1,19,v1,a
19,v3,v2,v2,v1,15,v1,a
18,v3,v2,v1,v1,14.5,v1,a
23,v1,v1,v1,v1,14,v1,a
28,v1,v1,v1,v1,14,v1,b
30,v1,v1,v1,v1,19.5,v1,b
30,v1,v1,v1,v1,14.5,v1,b
31,v1,v1,v1,v1,19,v1,c
35,v1,v1,v1,v1,18,v1,c
27,v1,v1,v1,v1,19,v1,b
26,v1,v1,v1,v1,20.5,v1,a
24,v1,v1,v2,v1,15.5,v1,c
25,v1,v1,v1,v1,17,v1,a
23,v1,v1,v1,v1,23.5,v1,b
20,v1,v1,v1,v1,19.5,v1,a
21,v1,v1,v1,v1,16.5,v1,a
13,v5,v3,v3,v2,12,v1,a
14,v5,v4,v3,v2,12,v1,a
15,v5,v3,v3,v2,13.5,v1,a
14,v5,v3,v3,v2,13,v1,a
17,v5,v3,v3,v2,11.5,v1,a
11,v5,v4,v4,v2,11,v1,a
13,v5,v3,v3,v2,13.5,v1,a
12,v5,v3,v3,v2,13.5,v1,a
13,v5,v4,v4,v2,12.5,v1,a
19,v1,v1,v2,v1,13.5,v1,c
15,v5,v3,v3,v2,12.5,v1,a
13,v5,v3,v2,v2,14,v1,a
13,v5,v3,v3,v2,16,v1,a
14,v5,v3,v3,v2,14,v1,a
18,v1,v1,v2,v1,14.5,v1,b
22,v1,v1,v1,v1,18,v1,b
21,v1,v1,v1,v1,19.5,v1,b
26,v1,v1,v1,v1,18,v1,b
22,v1,v1,v1,v1,16,v1,a
28,v1,v1,v1,v1,17,v1,c
23,v1,v1,v2,v1,14.5,v1,c
28,v1,v1,v1,v1,15,v1,a
27,v1,v1,v1,v1,16.5,v1,c
13,v5,v3,v3,v2,13,v1,a
14,v5,v3,v3,v2,11.5,v1,a
13,v5,v3,v3,v2,13,v1,a
14,v5,v3,v2,v2,14.5,v1,a
15,v5,v3,v3,v2,12.5,v1,a
12,v5,v4,v4,v2,11.5,v1,a
13,v5,v4,v3,v2,12,v1,a
13,v5,v3,v3,v2,13,v1,a
14,v5,v3,v3,v2,14.5,v1,a
13,v5,v4,v4,v2,11,v1,a
