18,v5,v3,v2,v2,v1,v1,a
15,v5,v3,v3,v2,v1,v1,a
18,v5,v3,v3,v2,v1,v1,a
16,v5,v3,v3,v2,v1,v1,a
17,v5,v3,v3,v2,v1,v1,a
15,v5,v4,v4,v2,v1,v1,a
14,v5,v4,v4,v2,v1,v1,a
14,v5,v4,v4,v2,v1,v1,a
14,v5,v4,v4,v2,v1,v1,a
15,v5,v4,v4,v2,v1,v1,a
15,v5,v4,v3,v2,v1,v1,a
14,v5,v3,v3,v2,v1,v1,a
15,v5,v4,v3,v2,v1,v1,a
14,v5,v4,v4,v1,v1,v1,a
24,v1,v1,v2,v1,v2,v1,c
22,v3,v2,v2,v1,v2,v1,a
18,v3,v2,v2,v1,v2,v1,a
21,v3,v2,v1,v1,v2,v1,a
27,v1,v1,v1,v1,v2,v1,c
26,v1,v1,v1,v1,v3,v1,b
25,v1,v1,v1,v1,v2,v1,b
24,v1,v1,v1,v1,v2,v1,b
25,v1,v1,v2,v1,v2,v1,b
26,v1,v1,v2,v1,v1,v1,b
21,v3,v2,v1,v1,v2,v1,a
10,v5,v4,v4,v2,v2,v1,a
10,v5,v3,v4,v2,v2,v1,a
11,v5,v3,v4,v2,v1,v1,a
9,v5,v3,v4,v2,v2,v1,a
27,v1,v1,v1,v1,v2,v1,c
28,v1,v1,v1,v1,v2,v1,a
25,v1,v1,v2,v1,v2,v1,c
25,v1,v1,?,v1,v2,v1,a
19,v3,v2,v2,v1,v1,v1,a
16,v3,v2,v2,v2,v2,v1,a
17,v3,v2,v2,v1,v2,v1,a
19,v3,v2,v1,v1,v2,v1,a
18,v3,v2,v2,v1,v2,v1,a
14,v5,v3,v3,v2,v1,v1,a
14,v5,v4,v3,v2,v1,v1,a
14,v5,v3,v3,v2,v1,v1,a
14,v5,v3,v3,v2,v1,v1,a
12,v5,v4,v3,v2,v1,v1,a
13,v5,v4,v3,v2,v1,v1,a
13,v5,v4,v3,v2,v1,v1,a
