18,8,v3,v2,3504,12,70,a
15,8,v3,v3,3693,11.5,70,a
18,8,v3,v3,3436,11,70,a
16,8,v3,v3,3433,12,70,a
17,8,v3,v3,3449,10.5,70,a
15,8,v4,v4,4341,10,70,a
14,8,v4,v4,4354,9,70,a
14,8,v4,v4,4312,8.5,70,a
14,8,v4,v4,4425,10,70,a
15,8,v4,v4,3850,8.5,70,a
15,8,v4,v3,3563,10,70,a
14,8,v3,v3,3609,8,70,a
15,8,v4,v3,3761,9.5,70,a
14,8,v4,v4,3086,10,70,a
24,4,v1,v2,2372,15,70,c
22,6,v2,v2,2833,15.5,70,a
18,6,v2,v2,2774,15.5,70,a
21,6,v2,v1,2587,16,70,a
27,4,v1,v1,2130,14.5,70,c
26,4,v1,v1,1835,20.5,70,b
25,4,v1,v1,2672,17.5,70,b
24,4,v1,v1,2430,14.5,70,b
25,4,v1,v2,2375,17.5,70,b
26,4,v1,v2,2234,12.5,70,b
21,6,v2,v1,2648,15,70,a
10,8,v4,v4,4615,14,70,a
10,8,v3,v4,4376,15,70,a
11,8,v3,v4,4382,13.5,70,a
9,8,v3,v4,4732,18.5,70,a
27,4,v1,v1,2130,14.5,71,c
28,4,v1,v1,2264,15.5,71,a
25,4,v1,v2,2228,14,71,c
25,4,v1,?,2046,19,71,a
19,6,v2,v2,2634,13,71,a
16,6,v2,v2,3439,15.5,71,a
17,6,v2,v2,3329,15.5,71,a
19,6,v2,v1,3302,15.5,71,a
18,6,v2,v2,3288,15.5,71,a
14,8,v3,v3,4209,12,71,a
14,8,v4,v3,4464,11.5,71,a
14,8,v3,v3,4154,13.5,71,a
14,8,v3,v3,4096,13,71,a
12,8,v4,v3,4955,11.5,71,a
13,8,v4,v3,4746,12,71,a
13,8,v4,v3,5140,12,71,a
18,6,v2,v2,2962,13.5,71,a
22,4,v1,v1,2408,19,71,a
19,6,v2,v2,3282,15,71,a
18,6,v2,v1,3139,14.5,71,a
23,4,v1,v1,2220,14,71,a
28,4,v1,v1,2123,14,71,b
30,4,v1,v1,2074,19.5,71,b
30,4,v1,v1,2065,14.5,71,b
31,4,v1,v1,1773,19,71,c
35,4,v1,v1,1613,18,71,c
27,4,v1,v1,1834,19,71,b
26,4,v1,v1,1955,20.5,71,a
24,4,v1,v2,2278,15.5,72,c
25,4,v1,v1,2126,17,72,a
23,4,v1,v1,2254,23.5,72,b
20,4,v1,v1,2408,19.5,72,a
21,4,v1,v1,2226,16.5,72,a
13,8,v3,v3,4274,12,72,a
14,8,v4,v3,4385,12,72,a
15,8,v3,v3,4135,13.5,72,a
14,8,v3,v3,4129,13,72,a
17,8,v3,v3,3672,11.5,72,a
11,8,v4,v4,4633,11,72,a
13,8,v3,v3,4502,13.5,72,a
12,8,v3,v3,4456,13.5,72,a
13,8,v4,v4,4422,12.5,72,a
19,3,v1,v2,2330,13.5,72,c
15,8,v3,v3,3892,12.5,72,a
13,8,v3,v2,4098,14,72,a
13,8,v3,v3,4294,16,72,a
14,8,v3,v3,4077,14,72,a
18,4,v1,v2,2933,14.5,72,b
22,4,v1,v1,2511,18,72,b
21,4,v1,v1,2979,19.5,72,b
26,4,v1,v1,2189,18,72,b
22,4,v1,v1,2395,16,72,a
28,4,v1,v1,2288,17,72,c
23,4,v1,v2,2506,14.5,72,c
28,4,v1,v1,2164,15,72,a
27,4,v1,v1,2100,16.5,72,c
13,8,v3,v3,4100,13,73,a
14,8,v3,v3,3672,11.5,73,a
13,8,v3,v3,3988,13,73,a
14,8,v3,v2,4042,14.5,73,a
15,8,v3,v3,3777,12.5,73,a
12,8,v4,v4,4952,11.5,73,a
13,8,v4,v3,4464,12,73,a
13,8,v3,v3,4363,13,73,a
14,8,v3,v3,4237,14.5,73,a
13,8,v4,v4,4735,11,73,a
12,8,v4,v4,4951,11,73,a
13,8,v4,v3,3821,11,73,a
18,6,v2,v2,3121,16.5,73,a
16,6,v2,v2,3278,18,73,a
18,6,v2,v2,2945,16,73,a
18,6,v2,v1,3021,16.5,73,a
23,6,v2,v2,2904,16,73,a
26,4,v1,v1,1950,21,73,b
11,8,v4,v3,4997,14,73,a
12,8,v4,v3,4906,12.5,73,a
13,8,v4,v3,4654,13,73,a
12,8,v3,v3,4499,12.5,73,a
18,6,v2,v2,2789,15,73,a
20,4,v1,v1,2279,19,73,c
21,4,v1,v1,2401,19.5,73,a
22,4,v1,v2,2379,16.5,73,c
18,3,v1,v1,2124,13.5,73,c
19,4,v1,v1,2310,18.5,73,a
21,6,v1,v2,2472,14,73,a
26,4,v1,v1,2265,15.5,73,b
15,8,v3,v3,4082,13,73,a
16,8,v4,v4,4278,9.5,73,a
29,4,v1,v1,1867,19.5,73,b
24,4,v1,v1,2158,15.5,73,b
20,4,v1,v1,2582,14,73,b
19,4,v1,v2,2868,15.5,73,b
15,8,v3,v3,3399,11,73,a
24,4,v1,v2,2660,14,73,b
20,6,v1,v2,2807,13.5,73,c
11,8,v3,v3,3664,11,73,a
20,6,v2,v2,3102,16.5,74,a
21,6,v2,?,2875,17,74,a
19,6,v2,v2,2901,16,74,a
15,6,v2,v2,3336,17,74,a
31,4,v1,v1,1950,19,74,c
26,4,v1,v1,2451,16.5,74,a
32,4,v1,v1,1836,21,74,c
25,4,v1,v1,2542,17,74,a
16,6,v2,v2,3781,17,74,a
16,6,v2,v2,3632,18,74,a
18,6,v2,v2,3613,16.5,74,a
16,8,v3,v3,4141,14,74,a
13,8,v3,v3,4699,14.5,74,a
14,8,v3,v3,4457,13.5,74,a
14,8,v3,v3,4638,16,74,a
14,8,v3,v3,4257,15.5,74,a
29,4,v1,v1,2219,16.5,74,b
26,4,v1,v1,1963,15.5,74,b
26,4,v1,v1,2300,14.5,74,b
31,4,v1,v1,1649,16.5,74,c
32,4,v1,v1,2003,19,74,c
28,4,v1,v1,2125,14.5,74,a
24,4,v1,v1,2108,15.5,74,b
26,4,v1,v1,2246,14,74,b
24,4,v1,v2,2489,15,74,c
26,4,v1,v2,2391,15.5,74,c
31,4,v1,v1,2000,16,74,b
19,6,v2,v2,3264,16,75,a
18,6,v2,v2,3459,16,75,a
15,6,v2,v1,3432,21,75,a
15,6,v2,v1,3158,19.5,75,a
16,8,v4,v3,4668,11.5,75,a
15,8,v3,v3,4440,14,75,a
16,8,v3,v3,4498,14.5,75,a
14,8,v3,v3,4657,13.5,75,a
17,6,v2,v2,3907,21,75,a
16,6,v2,v2,3897,18.5,75,a
15,6,v2,v2,3730,19,75,a
18,6,v2,v2,3785,19,75,a
21,6,v2,v2,3039,15,75,a
