vhigh,vhigh,n_2,n_2,small,low,unacc
vhigh,vhigh,n_2,n_2,small,med,unacc
vhigh,vhigh,n_2,n_2,small,high,unacc
vhigh,vhigh,n_2,n_2,med,low,unacc
vhigh,vhigh,n_2,n_2,med,med,unacc
vhigh,vhigh,n_2,n_2,med,high,unacc
vhigh,vhigh,n_2,n_2,big,low,unacc
vhigh,vhigh,n_2,n_2,big,med,unacc
vhigh,vhigh,n_2,n_2,big,high,unacc
vhigh,vhigh,n_2,n_4,small,low,unacc
vhigh,vhigh,n_2,n_4,small,med,unacc
vhigh,vhigh,n_2,n_4,small,high,unacc
vhigh,vhigh,n_2,n_4,med,low,unacc
vhigh,vhigh,n_2,n_4,med,med,unacc
vhigh,vhigh,n_2,n_4,med,high,unacc
vhigh,vhigh,n_2,n_4,big,low,unacc
vhigh,vhigh,n_2,n_4,big,med,unacc
vhigh,vhigh,n_2,n_4,big,high,unacc
vhigh,vhigh,n_2,more,small,low,unacc
vhigh,vhigh,n_2,more,small,med,unacc
vhigh,vhigh,n_2,more,small,high,unacc
vhigh,vhigh,n_2,more,med,low,unacc
vhigh,vhigh,n_2,more,med,med,unacc
vhigh,vhigh,n_2,more,med,high,unacc
vhigh,vhigh,n_2,more,big,low,unacc
vhigh,vhigh,n_2,more,big,med,unacc
vhigh,vhigh,n_2,more,big,high,unacc
vhigh,vhigh,n_3,n_2,small,low,unacc
vhigh,vhigh,n_3,n_2,small,med,unacc
vhigh,vhigh,n_3,n_2,small,high,unacc
vhigh,vhigh,n_3,n_2,med,low,unacc
vhigh,vhigh,n_3,n_2,med,med,unacc
vhigh,vhigh,n_3,n_2,med,high,unacc
vhigh,vhigh,n_3,n_2,big,low,unacc
vhigh,vhigh,n_3,n_2,big,med,unacc
vhigh,vhigh,n_3,n_2,big,high,unacc
vhigh,vhigh,n_3,n_4,small,low,unacc
vhigh,vhigh,n_3,n_4,small,med,unacc
vhigh,vhigh,n_3,n_4,small,high,unacc
vhigh,vhigh,n_3,n_4,med,low,unacc
vhigh,vhigh,n_3,n_4,med,med,unacc
vhigh,vhigh,n_3,n_4,med,high,unacc
vhigh,vhigh,n_3,n_4,big,low,unacc
vhigh,vhigh,n_3,n_4,big,med,unacc
vhigh,vhigh,n_3,n_4,big,high,unacc
vhigh,vhigh,n_3,more,small,low,unacc
vhigh,vhigh,n_3,more,small,med,unacc
vhigh,vhigh,n_3,more,small,high,unacc
vhigh,vhigh,n_3,more,med,low,unacc
vhigh,vhigh,n_3,more,med,med,unacc
vhigh,vhigh,n_3,more,med,high,unacc
vhigh,vhigh,n_3,more,big,low,unacc
vhigh,vhigh,n_3,more,big,med,unacc
vhigh,vhigh,n_3,more,big,high,unacc
vhigh,vhigh,n_4,n_2,small,low,unacc
vhigh,vhigh,n_4,n_2,small,med,unacc
vhigh,vhigh,n_4,n_2,small,high,unacc
vhigh,vhigh,n_4,n_2,med,low,unacc
vhigh,vhigh,n_4,n_2,med,med,unacc
vhigh,vhigh,n_4,n_2,med,high,unacc
vhigh,vhigh,n_4,n_2,big,low,unacc
vhigh,vhigh,n_4,n_2,big,med,unacc
vhigh,vhigh,n_4,n_2,big,high,unacc
vhigh,vhigh,n_4,n_4,small,low,unacc
vhigh,vhigh,n_4,n_4,small,med,unacc
vhigh,vhigh,n_4,n_4,small,high,unacc
vhigh,vhigh,n_4,n_4,med,low,unacc
vhigh,vhigh,n_4,n_4,med,med,unacc
vhigh,vhigh,n_4,n_4,med,high,unacc
vhigh,vhigh,n_4,n_4,big,low,unacc
